epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.0904345695789044,37.93103448275862,1.174111247062683,21.73913043478261,5e-05
2,1.069528808960548,41.87192118226601,1.1526854038238525,21.73913043478261,5e-05
3,1.0779057832864614,41.87192118226601,1.1761969327926636,21.73913043478261,5e-05
4,1.069958365880526,42.857142857142854,1.168857216835022,26.08695652173913,5e-05
5,1.0832201196597173,40.88669950738916,1.146700382232666,52.17391304347826,5e-05
6,1.0623708688295805,43.34975369458128,1.1439242362976074,52.17391304347826,5e-05
7,1.0822170743575463,42.857142857142854,1.1561939716339111,39.130434782608695,5e-05
8,1.0597706253711994,49.75369458128079,1.142074465751648,43.47826086956522,5e-05
9,1.060335906652304,43.8423645320197,1.1333527565002441,47.82608695652174,2.5e-05
10,1.0615351933699388,50.73891625615764,1.1156086921691895,52.17391304347826,2.5e-05
