epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.1463909149169922,31.862745098039216,1.1157339811325073,35.714285714285715,5e-05
2,1.1086250910392175,38.23529411764706,1.1220766305923462,35.714285714285715,5e-05
3,1.101006452853863,38.72549019607843,1.1085768938064575,35.714285714285715,5e-05
4,1.0960796246161828,43.627450980392155,1.0948350429534912,35.714285714285715,5e-05
5,1.0939475068679223,35.78431372549019,1.0851203203201294,42.857142857142854,5e-05
6,1.090509451352633,38.72549019607843,1.0779272317886353,42.857142857142854,5e-05
7,1.0866881975760827,41.1764705882353,1.0736947059631348,57.142857142857146,5e-05
8,1.0913079151740441,42.64705882352941,1.066396713256836,50.0,5e-05
9,1.0704720066143916,41.1764705882353,1.0539839267730713,57.142857142857146,5e-05
10,1.0667853034459627,44.6078431372549,1.045007586479187,57.142857142857146,5e-05
11,1.059151025918814,47.549019607843135,1.0434387922286987,57.142857142857146,2.5e-05
12,1.0577425406529353,47.549019607843135,1.0352274179458618,57.142857142857146,2.5e-05
