Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),Training Time (min),Epochs
Hybrid,91.37931034482759,91.58280172714817,91.37931034482759,91.2949625925205,25.82702772219976,20
Residual,77.29885057471265,79.86933246058709,77.29885057471265,77.38248183128005,25.160379830996195,20
Pyramidal,68.10344827586206,72.56078445111199,68.10344827586206,67.929303283692,25.517504966259004,20
Attention,67.52873563218391,68.93321470312203,67.52873563218391,67.15185411217952,25.041732903321584,20
Deep,62.93103448275862,60.30623973727421,57.47126436781609,57.06506768402292,25.236823149522145,20
